,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,Licensed,official_video,Stream
11996,Arcángel,Me Ama Me Odia,Me Ama Me Odia,single,0.735,0.603,6,-9.474,0.203,0.226,3.56E-05,0.0844,0.429,135.993,326937,Revol,268014018,1488605,34585,FALSE,FALSE,172179857
12149,Cosculluela,Me Ama Me Odia,Me Ama Me Odia,single,0.735,0.603,6,-9.474,0.203,0.226,3.56E-05,0.0844,0.429,135.993,326937,Revol,268014018,1488605,34585,FALSE,FALSE,172179857
10951,Soulja Boy,Kiss Me Thru The Phone,iSouljaBoyTellem,album,0.758,0.712,7,-3.781,0.112,0.0185,0,0.0677,0.795,149.998,193387,SouljaBoyTellemVEVO,267696152,2056408,67840,TRUE,TRUE,479759154
4034,Jarabe De Palo,La flaca,La Flaca,album,0.871,0.481,7,-9.068,0.0383,0.52,5.54E-05,0.0809,0.664,103.063,261200,Jarabe de Palo Catálogo,267612857,1008777,17059,TRUE,TRUE,403910089
13869,Boyce Avenue,Photograph,"Cover Sessions, Vol. 4",album,0.717,0.32,3,-8.393,0.0283,0.83,0,0.107,0.322,107.946,260187,Boyce Avenue,267346638,1757298,34540,TRUE,TRUE,144604914
16636,Ozuna,Una Locura,ENOC,album,0.714,0.761,5,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,Ozuna,267296505,1166738,20060,TRUE,TRUE,491471865
14113,Chencho Corleone,Una Locura,ENOC,album,0.714,0.761,5,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,Ozuna,267296401,1166734,20060,TRUE,TRUE,491471865
13025,J Balvin,Una Locura,ENOC,album,0.714,0.761,5,-4.596,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,Ozuna,267296336,1166733,20060,TRUE,TRUE,491471865
16405,Ezhel,Bi Sonraki Hayatımda Gel,Made In Turkey,album,0.933,0.448,8,-4.491,0.136,0.0253,0,0.104,0.737,103.981,167350,Murda,267180820,987717,36981,FALSE,TRUE,115712311
14501,Murda,Bi Sonraki Hayatımda Gel,Made In Turkey,album,0.933,0.448,8,-4.491,0.136,0.0253,0,0.104,0.737,103.981,167350,Murda,267180591,987715,36981,FALSE,TRUE,115712311
16008,Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),single,0.801,0.806,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,SelenaGomezVEVO,267123683,4239909,114847,TRUE,TRUE,375127168
13519,Selena Gomez,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),single,0.801,0.806,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,SelenaGomezVEVO,267121473,4239720,114845,TRUE,TRUE,375127168
8147,T.I.,Live Your Life,Paper Trail,album,0.375,0.862,11,-3.363,0.255,0.071,0,0.211,0.478,159.841,338853,T.I.,267091078,1586364,53909,TRUE,TRUE,436628778
14209,Chief Keef,Love Sosa,Finally Rich,album,0.772,0.413,0,-8.193,0.089,0.0361,0,0.111,0.211,131.965,246213,DGainz,267070285,2433648,167061,FALSE,FALSE,491359703
18570,Billie Eilish,Happier Than Ever,Happier Than Ever,album,0.332,0.225,0,-8.697,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,BillieEilishVEVO,266896199,5718606,146420,TRUE,TRUE,907762843
15077,Ana Mena,Una volta ancora (feat. Ana Mena),Uebe,album,0.771,0.638,8,-5.342,0.0622,0.0848,0,0.104,0.591,124.039,174291,Warner Music Italy,266332117,849446,15022,TRUE,TRUE,153695658
950,Udit Narayan,Main Yahaan Hoon,Veer - Zaara,album,0.484,0.788,4,-7.625,0.0565,0.69,0.0132,0.0939,0.741,171.973,295158,YRF,266292126,1774707,41253,TRUE,TRUE,32601320
9611,Gusttavo Lima,Bloqueado - Ao Vivo,Buteco in Boston (Ao Vivo),album,0.828,0.721,1,-4.274,0.0558,0.153,0,0.547,0.651,129.092,168689,Gusttavo Lima Oficial,266252667,1131121,15967,FALSE,FALSE,183012606
10971,Benny Dayal,Lat Lag Gayee,Race 2 (Original Motion Picture Soundtrack),album,0.79,0.892,10,-4.038,0.0404,0.228,1.18E-06,0.206,0.896,131.991,280369,Tips Official,266117743,1352801,29045,TRUE,TRUE,34399706
8008,Justin Timberlake,SexyBack (feat. Timbaland),FutureSex/LoveSounds,album,0.967,0.583,7,-5.562,0.0789,0.0584,0,0.0519,0.964,117,242733,justintimberlakeVEVO,266114452,1715168,41799,TRUE,TRUE,656261161
12020,Macklemore,Glorious (feat. Skylar Grey),GEMINI,album,0.731,0.794,0,-5.126,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,220454,Macklemore,265913962,2657601,67742,TRUE,TRUE,751186246
12336,Lindsey Stirling,Crystallize,Lindsey Stirling,album,0.44,0.623,0,-8.228,0.0316,0.000856,0.0586,0.103,0.0563,140.006,258800,Lindsey Stirling,265907978,2929005,201397,FALSE,TRUE,99441256
17751,Hungria Hip Hop,Insônia,Meu Carona,album,0.826,0.318,2,-11.647,0.078,0.363,0,0.302,0.443,143.976,282697,Hungria Hip Hop,265711996,1565514,47863,TRUE,TRUE,75529606
10570,Raí Saia Rodada,Bebe e Vem Me Procurar,Bebe e Vem Me Procurar,single,0.571,0.941,5,-6.712,0.0334,0.415,6.51E-06,0.299,0.969,169.95,154291,Raí Saia Rodada,265540593,1215547,13346,FALSE,TRUE,104529931
16338,Thomas Rhett,Die A Happy Man,Tangled Up,album,0.595,0.389,2,-9.245,0.0349,0.418,1.39E-06,0.116,0.4,166.052,227427,ThomasRhettVEVO,265398540,1061733,16840,TRUE,TRUE,520823719
17698,Hailee Steinfeld,Most Girls,Most Girls,single,0.756,0.572,9,-7.019,0.0763,0.0478,0,0.0853,0.417,102.986,204400,HaileeSteinfeldVEVO,265390380,2329606,67127,TRUE,TRUE,573201803
17229,Doja Cat,Need to Know,Planet Her,album,0.664,0.609,1,-6.509,0.0707,0.304,0,0.0926,0.194,130.041,210560,dojacatVEVO,265043327,4114734,86105,TRUE,TRUE,948983026
17200,Fifth Harmony,BO$$,Reflection (Deluxe),album,0.813,0.872,9,-5.224,0.107,0.00621,0,0.0498,0.736,103.016,171413,FifthHarmonyVEVO,264759900,1813080,84591,TRUE,TRUE,183465021
6611,Alice Cooper,Poison,Trash,album,0.28,0.908,2,-5.509,0.109,0.0327,8.85E-06,0.18,0.26,118.698,270080,AliceCooperVEVO,264551594,1231520,38209,TRUE,TRUE,328124343
17979,Myke Towers,Piensan,Easy Money Baby,album,0.677,0.722,2,-4.443,0.0626,0.538,0,0.11,0.786,172,173452,Myke Towers,264471502,1479500,11652,TRUE,TRUE,217954283
19241,Roddy Ricch,Walk Em Down (feat. Roddy Ricch),Top Shotta,album,0.867,0.744,2,-5.171,0.227,0.268,0,0.0713,0.645,84.005,173288,NLE CHOPPA,264102222,2396870,87421,TRUE,TRUE,431406617
16683,NLE Choppa,Walk Em Down (feat. Roddy Ricch),Top Shotta,album,0.867,0.744,2,-5.171,0.227,0.268,0,0.0713,0.645,84.005,173288,NLE CHOPPA,264101912,2396870,87421,TRUE,TRUE,431406617
10667,Dire Straits,Walk of Life,Brothers in Arms,album,0.461,0.936,4,-6.866,0.109,0.435,9.13E-05,0.124,0.804,172.404,252467,DireStraitsVEVO,264062856,1128618,26097,TRUE,TRUE,
12398,Far East Movement,Like A G6,Free Wired,album,0.435,0.837,3,-8.126,0.449,0.00676,0,0.117,0.778,124.913,216893,FarEastMovementVEVO,264012406,1725961,112252,TRUE,TRUE,533889859
2900,Thalia,No Me Enseñaste,Thalia,album,0.673,0.73,8,-6.876,0.0671,0.431,0,0.075,0.788,134.87,269120,ThaliaVEVO,263830207,713672,24613,TRUE,TRUE,81966521
19237,Roddy Ricch,Ballin' (with Roddy Ricch),Perfect Ten,album,0.809,0.545,7,-6.678,0.0735,0.392,0,0.151,0.244,97.008,180435,MustardVEVO,263419635,2183317,43184,TRUE,TRUE,715346807
13739,Mustard,Ballin' (with Roddy Ricch),Perfect Ten,album,0.809,0.545,7,-6.678,0.0735,0.392,0,0.151,0.244,97.008,180435,MustardVEVO,263419134,2183293,43179,TRUE,TRUE,715346807
19279,Xamã,Malvadão 3,Malvadão 3,single,0.821,0.609,6,-6.541,0.268,0.378,0,0.136,0.516,133.133,141770,Bagua Records,263220761,2546340,26162,TRUE,TRUE,229484947
17656,Neo Beats,Malvadão 3,Malvadão 3,single,0.821,0.609,6,-6.541,0.268,0.378,0,0.136,0.516,133.133,141770,Bagua Records,263220371,2546337,26162,TRUE,TRUE,229634615
774,Whitney Houston,Greatest Love of All,Whitney Houston,album,0.502,0.305,9,-16.011,0.0339,0.484,3.55E-06,0.117,0.248,131.242,291400,whitneyhoustonVEVO,263085463,1192639,55266,TRUE,TRUE,149838819
13713,Ryan Lewis,Same Love (feat. Mary Lambert),The Heist,album,0.618,0.475,8,-9.05,0.165,0.718,2.33E-05,0.0994,0.313,84.964,320035,Macklemore,262889384,2030177,365074,TRUE,TRUE,304751334
9753,2 Chainz,Mercy.1,Kanye West Presents Good Music Cruel Summer,compilation,0.556,0.644,6,-5.805,0.402,0.0558,2.32E-05,0.35,0.499,140.009,326347,KanyeWestVEVO,262883082,1983586,99112,TRUE,TRUE,107854450
8285,Pusha T,Mercy.1,Kanye West Presents Good Music Cruel Summer,compilation,0.556,0.644,6,-5.805,0.402,0.0558,2.32E-05,0.35,0.499,140.009,326347,KanyeWestVEVO,262883046,1983586,99112,TRUE,TRUE,107854450
20168,Ado,Usseewa,Kyougen,album,0.526,0.976,11,-1.084,0.0799,0.00459,0,0.102,0.554,178.129,206893,Ado,262747530,2509554,231913,FALSE,TRUE,113926600
18862,Noriel,Suave (Remix),El Hombre,album,0.875,0.909,9,-3.558,0.076,0.14,0.00185,0.0616,0.524,119.999,305526,ElAlfaElJefeTV,262630494,1697156,42215,TRUE,TRUE,115339643
18200,Bryant Myers,Suave (Remix),El Hombre,album,0.875,0.909,9,-3.558,0.076,0.14,0.00185,0.0616,0.524,119.999,305526,ElAlfaElJefeTV,262630494,1697155,42215,TRUE,TRUE,115254035
16529,Miky Woodz,Suave (Remix),El Hombre,album,0.875,0.909,9,-3.558,0.076,0.14,0.00185,0.0616,0.524,119.999,305526,ElAlfaElJefeTV,262630290,1697154,42215,TRUE,TRUE,115254035
12674,Jon Z,Suave (Remix),El Hombre,album,0.875,0.909,9,-3.558,0.076,0.14,0.00185,0.0616,0.524,119.999,305526,ElAlfaElJefeTV,262630229,1697146,42215,TRUE,TRUE,115254035
864,Plan B,Suave (Remix),El Hombre,album,0.875,0.909,9,-3.558,0.076,0.14,0.00185,0.0616,0.524,119.999,305526,ElAlfaElJefeTV,262629508,1697139,42213,TRUE,TRUE,115254035
1766,The Game,My Life,LAX,album,0.67,0.765,11,-5.019,0.352,0.0731,0,0.0567,0.383,148.126,320893,TheGameVEVO,262615253,1146257,53759,TRUE,TRUE,78380528
14770,La Adictiva,El Amor de Mi Vida,30 Aniversario,album,0.689,0.556,10,-4.776,0.0305,0.0254,0,0.0942,0.795,132.851,208160,La Adictiva,262450537,865889,13153,FALSE,TRUE,159548234
14740,Kenshi Yonezu,ピースサイン,BOOTLEG,album,0.593,0.935,10,-3.853,0.0684,0.00221,0,0.315,0.618,100.003,238533,Kenshi Yonezu  米津玄師,262409674,1307917,58069,TRUE,TRUE,164226040
3008,Lenny Kravitz,Again,Again,single,0.55,0.804,2,-5.218,0.0271,0.0148,4.33E-05,0.105,0.789,79.166,231667,LennyKravitzVEVO,262379733,953046,22527,TRUE,TRUE,157282603
4636,Kid Rock,Only God Knows Why,Devil Without a Cause,album,0.628,0.749,4,-5.18,0.03,0.0569,0.00204,0.134,0.31,129.2,327667,Kid Rock,262268352,1186617,41521,TRUE,TRUE,54141250
11145,Tribo da Periferia,Alma de Pipa,4° Último,album,0.836,0.352,2,-10.063,0.0843,0.543,0,0.0888,0.446,132.047,169302,Tribo da Periferia,262214968,1751126,38940,TRUE,TRUE,52664431
8075,TWICE,Alcohol-Free,Taste of Love,single,0.688,0.909,8,-1.992,0.0624,0.0474,1.35E-06,0.0674,0.702,97.097,210573,JYP Entertainment,261953361,4491524,1332709,TRUE,TRUE,169044957
13173,Carlos Rivera,Me Muero,Guerra (+ Sessions Recorded at Abbey Road),album,0.51,0.572,6,-6.153,0.0262,0.28,0,0.113,0.529,142.062,196040,CarlosRiveraVEVO,261918800,1026148,22758,TRUE,TRUE,150333470
16190,Lorde,Team,Pure Heroine,album,0.69,0.578,6,-7.436,0.0929,0.167,0,0.305,0.416,99.961,193059,LordeVEVO,261908898,2056630,58728,TRUE,TRUE,635428540
1038,Korn,Freak On a Leash,Follow The Leader,album,0.353,0.898,2,-5.877,0.052,2.23E-05,0.105,0.39,0.525,103.293,255733,KornVEVO,261866868,1452692,44509,TRUE,TRUE,343955425
20054,Cris Mj,Una Noche en Medellín,Una Noche en Medellín,single,0.87,0.548,10,-5.253,0.077,0.0924,4.60E-05,0.0534,0.832,96.018,153750,Cris MJ,261795094,2092993,31814,FALSE,TRUE,534190352
1161,Backstreet Boys,Show Me the Meaning of Being Lonely,Millennium,album,0.63,0.625,6,-5.088,0.0252,0.231,0,0.0765,0.683,167.998,234960,BackstreetBoysVEVO,261581087,1400337,54464,TRUE,TRUE,142353784
15350,Justin Quiles,Loco,La Última Promesa,album,0.771,0.885,8,-3.66,0.0508,0.222,0,0.0918,0.826,128.031,231604,Justin Quiles,261266860,1296193,13447,TRUE,TRUE,335363489
3486,Shankar-Ehsaan-Loy,Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),album,0.532,0.529,0,-8.402,0.0352,0.334,0.000144,0.078,0.295,81.989,321240,SonyMusicIndiaVEVO,261223231,1986217,74250,TRUE,TRUE,55843388
1429,Sonu Nigam,Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),album,0.532,0.529,0,-8.402,0.0352,0.334,0.000144,0.078,0.295,81.989,321240,SonyMusicIndiaVEVO,261222590,1986209,74250,TRUE,TRUE,55843388
13042,OneRepublic,Secrets,Waking Up,album,0.516,0.764,2,-6.223,0.0366,0.0717,0,0.115,0.376,148.021,224693,OneRepublicVEVO,261189040,1782356,53789,TRUE,TRUE,492010350
3435,Chalino Sanchez,Nieves De Enero,Nieves de Enero,album,0.426,0.504,0,-6.865,0.0636,0.703,4.22E-05,0.0911,0.687,186.379,213159,Discos Musart,261100585,891913,18956,TRUE,TRUE,152470792
9610,Gusttavo Lima,Termina Comigo Antes,Termina Comigo Antes,single,0.541,0.713,0,-4.313,0.0368,0.586,0,0.661,0.285,110.414,187381,Gusttavo Lima Oficial,260769230,1321681,23749,FALSE,FALSE,141183805
14981,Christina Perri,human,head or heart,album,0.439,0.489,8,-6.286,0.0368,0.132,0.000643,0.114,0.253,143.808,250707,Christina Perri,260602190,2884388,84162,TRUE,TRUE,387872461
4491,Jatin-Lalit,Humko Humise Chura Lo,Mohabbatein,album,0.548,0.506,6,-13.684,0.0495,0.492,0.000442,0.189,0.641,85.628,473025,YRF,260569462,1122126,30650,TRUE,TRUE,12607278
5269,Raça Negra,É Tarde Demais,Raça Negra - Vol. 6,album,0.615,0.403,4,-11.648,0.0282,0.425,4.41E-06,0.321,0.454,136.377,214693,GigantesDoSambaVEVO,260424939,1803774,32669,TRUE,TRUE,13175636
14855,Noah Cyrus,All Falls Down (feat. Juliander),Different World,album,0.655,0.672,1,-4.966,0.0581,0.253,0,0.312,0.675,98.005,198880,Alan Walker,260331364,2608017,76933,TRUE,TRUE,496049805
13454,Girls' Generation,I GOT A BOY,I GOT A BOY - The 4th Album,album,0.502,0.863,4,-1.273,0.272,0.0342,0,0.538,0.527,97.911,271326,SMTOWN,260088489,2113863,513841,TRUE,TRUE,42725761
1749,Gwen Stefani,Hollaback Girl,Love Angel Music Baby (Deluxe Version),album,0.926,0.916,10,-2.221,0.0929,0.35,6.17E-06,0.0234,0.904,110.007,199853,GwenStefaniVEVO,260080572,2036467,68968,TRUE,TRUE,486700432
1384,Céline Dion,That's the Way It Is,The Very Best of Celine Dion,compilation,0.634,0.886,9,-5.424,0.0434,0.154,0,0.118,0.577,93.04,241373,CelineDionVEVO,260022235,869724,31143,TRUE,TRUE,100028498
12596,Luke Bryan,"Huntin', Fishin' And Lovin' Every Day",Kill The Lights (Deluxe),album,0.543,0.81,0,-4.275,0.0368,0.14,1.23E-05,0.145,0.395,76.978,278613,LukeBryanVEVO,259898309,752589,25503,TRUE,TRUE,177948822
18694,TINI,Consejo de Amor (feat. Morat),Quiero Volver,album,0.475,0.717,0,-6.712,0.102,0.194,0,0.101,0.646,83.869,199720,TiniVEVO,259766134,1516169,32841,TRUE,TRUE,187950930
8004,Queen,Killer Queen - Remastered 2011,Sheer Heart Attack (Deluxe Remastered Version),album,0.535,0.65,10,-6.328,0.0554,0.379,0,0.14,0.61,117.188,179600,Queen Official,259389082,1891810,98940,TRUE,TRUE,612430173
12451,Ed Sheeran,Shivers,#ERROR!,album,0.788,0.859,2,-2.724,0.0856,0.281,0,0.0424,0.822,141.02,207853,Ed Sheeran,259267738,2182153,54783,TRUE,TRUE,1104261508
8538,Billy Idol,Eyes Without A Face,Rebel Yell,album,0.391,0.815,9,-6.197,0.0518,0.0177,0.00226,0.276,0.647,84.383,299240,BillyIdolVEVO,259236899,1223698,55763,TRUE,TRUE,
3820,INNA,Cola Song (feat. J Balvin),Party Never Ends,album,0.793,0.896,7,-3.072,0.0417,0.0136,1.08E-05,0.105,0.842,125.063,198246,INNA,259202903,1250211,39717,FALSE,TRUE,107759460
5,Gorillaz,DARE,Demon Days,album,0.76,0.891,11,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,245000,Gorillaz,259021161,1844658,72008,TRUE,TRUE,323850327
